Order_ID,Customer_Name,Product,Quantity,Price,Order_Date,Payment_Method,Delivery_Status
1000,Riya Patel,Mobile,5,29445,12-02-2024,Debit Card,Shipped
1001,Arjun Gupta,Smartwatch,1,40132,22-04-2024,UPI,Delivered
1002,Rahul Roy,Laptop,1,45443,26-10-2024,Cash,Pending
1003,Sneha Sen,Laptop,3,17818,03-09-2024,Debit Card,Shipped
1004,Rahul Roy,Mobile,1,16558,15-09-2024,Cash,Shipped
1005,Karan Mehta,Smartwatch,3,24373,11-03-2024,Credit Card,Pending
1006,Karan Mehta,Mobile,2,27146,25-06-2024,Net Banking,Shipped
1007,Sneha Sen,Mobile,3,8825,15-05-2024,UPI,Cancelled
1008,Rahul Roy,Camera,4,32576,01-07-2024,UPI,Cancelled
1009,Priya Das,Mobile,4,12857,22-05-2024,Debit Card,Pending
1010,Arjun Gupta,Tablet,1,45955,05-04-2024,Credit Card,Delivered
1011,Priya Das,Camera,4,4271,21-09-2024,Net Banking,Delivered
1012,Anjali Singh,Camera,5,1167,09-04-2024,Net Banking,Cancelled
1013,Vikram Kumar,Headphones,3,42694,02-10-2024,UPI,Cancelled
1014,Amit Sharma,Tablet,2,9935,26-09-2024,Cash,Cancelled
1015,Neha Verma,Camera,4,32107,29-12-2024,Cash,Delivered
1016,Priya Das,Headphones,4,31200,17-04-2024,UPI,Pending
1017,Riya Patel,Laptop,3,27121,17-12-2024,Debit Card,Pending
1018,Karan Mehta,Tablet,4,28394,04-09-2024,Credit Card,Delivered
1019,Priya Das,Headphones,2,10361,18-02-2024,Net Banking,Cancelled
1020,Riya Patel,Tablet,3,34059,23-05-2024,Credit Card,Pending
1021,Arjun Gupta,Headphones,4,30616,03-03-2024,Cash,Delivered
1022,Amit Sharma,Mobile,3,14487,13-03-2024,Net Banking,Delivered
1023,Neha Verma,Tablet,3,48102,16-10-2024,Cash,Shipped
1024,Riya Patel,Headphones,5,12480,20-12-2024,Cash,Pending
1025,Priya Das,Smartwatch,3,49423,18-08-2024,Credit Card,Shipped
1026,Riya Patel,Smartwatch,1,24836,25-07-2024,UPI,Shipped
1027,Vikram Kumar,Mobile,3,30824,11-01-2024,Net Banking,Pending
1028,Sneha Sen,Camera,2,687,25-09-2024,Net Banking,Delivered
1029,Neha Verma,Camera,3,48959,16-02-2024,Credit Card,Cancelled
1030,Vikram Kumar,Tablet,1,7597,05-07-2024,UPI,Delivered
1031,Riya Patel,Smartwatch,1,39568,10-03-2024,Credit Card,Delivered
1032,Sneha Sen,Laptop,1,35535,04-09-2024,Net Banking,Shipped
1033,Vikram Kumar,Tablet,2,28183,26-07-2024,UPI,Shipped
1034,Neha Verma,Camera,4,35425,21-09-2024,Debit Card,Cancelled
1035,Priya Das,Mobile,4,12476,16-08-2024,Debit Card,Delivered
1036,Amit Sharma,Smartwatch,2,13869,06-07-2024,Net Banking,Delivered
1037,Rahul Roy,Headphones,3,14651,12-04-2024,Credit Card,Cancelled
1038,Neha Verma,Headphones,2,20707,17-08-2024,Debit Card,Cancelled
1039,Amit Sharma,Mobile,1,16396,07-08-2024,Credit Card,Cancelled
1040,Karan Mehta,Laptop,3,39739,16-01-2024,Cash,Cancelled
1041,Riya Patel,Tablet,4,35376,06-07-2024,Credit Card,Cancelled
1042,Karan Mehta,Tablet,3,40835,05-08-2024,Credit Card,Shipped
1043,Neha Verma,Mobile,5,25179,23-02-2024,Debit Card,Delivered
1044,Amit Sharma,Smartwatch,2,11104,29-11-2024,Cash,Delivered
1045,Arjun Gupta,Mobile,1,42102,31-08-2024,UPI,Cancelled
1046,Arjun Gupta,Smartwatch,1,5929,06-02-2024,Debit Card,Pending
1047,Amit Sharma,Headphones,1,12099,24-11-2024,Cash,Cancelled
